source,target,Genre,Track,Year,Popularity
Dinah Washington,Quincy Jones,soul,Stormy Weather,1990,32
Dinah Washington,Quincy Jones,soul,Ev'ry Time We Say Goodbye,1991,28
Louis Armstrong,Duke Ellington,soul,It Don't Mean a Thing (If It Ain't Got That Swing),1963,52
Louis Armstrong,Duke Ellington,soul,Azalea,1963,47
Louis Armstrong,Duke Ellington,soul,Solitude,1963,36
Louis Armstrong,Duke Ellington,soul,Don't Get Around Much Anymore,1963,31
Louis Armstrong,Duke Ellington,soul,I Got It Bad (And That Ain't Good),1963,25
Louis Armstrong,Duke Ellington,soul,I'm Beginning to See the Light,1963,25
Louis Armstrong,Duke Ellington,soul,Mood Indigo - 1990 Remaster,2000,40
Louis Armstrong,Duke Ellington,soul,It Don't Mean a Thing (If It Ain't Got That Swing) - 1990 Remaster,2001,33
Louis Armstrong,Duke Ellington,soul,Duke's Place - 1990 Remaster,2001,24
Louis Armstrong,Duke Ellington,soul,Solitude - 1990 Remaster,2001,25
Louis Armstrong,Ella Fitzgerald,soul,I Got Plenty O' Nuttin',1992,22
Louis Armstrong,Ella Fitzgerald,blues,Can't We Be Friends?,1993,51
Louis Armstrong,Ella Fitzgerald,blues,Dream A Little Dream Of Me,1995,45
Louis Armstrong,Ella Fitzgerald,blues,Who Walks In When I Walk Out?,1995,31
Louis Armstrong,Ella Fitzgerald,blues,Would You Like To Take A Walk?,1995,27
Louis Armstrong,Ella Fitzgerald,blues,Cheek To Cheek,1997,69
Louis Armstrong,Ella Fitzgerald,blues,They Can't Take That Away From Me,1997,63
Louis Armstrong,Ella Fitzgerald,blues,The Nearness Of You,1997,56
Louis Armstrong,Ella Fitzgerald,blues,Isn't This A Lovely Day?,1997,54
Louis Armstrong,Ella Fitzgerald,blues,April In Paris,1997,50
Louis Armstrong,Ella Fitzgerald,blues,Moonlight In Vermont,1997,47
Louis Armstrong,Ella Fitzgerald,blues,A Foggy Day,1997,46
Louis Armstrong,Ella Fitzgerald,blues,Tenderly,1997,46
Louis Armstrong,Ella Fitzgerald,blues,Stars Fell On Alabama,1997,43
Louis Armstrong,Ella Fitzgerald,blues,Under A Blanket Of Blue,1997,39
Louis Armstrong,Ella Fitzgerald,blues,Makin' Whoopee,1997,35
Louis Armstrong,Ella Fitzgerald,blues,Autumn In New York,1997,31
Louis Armstrong,Ella Fitzgerald,blues,Let's Call The Whole Thing Off,1997,30
Louis Armstrong,Ella Fitzgerald,blues,They All Laughed,1997,30
Louis Armstrong,Ella Fitzgerald,blues,These Foolish Things (Remind Me Of You),1997,29
Louis Armstrong,Ella Fitzgerald,blues,Let's Do It (Let's Fall In Love),1997,30
Louis Armstrong,Ella Fitzgerald,blues,Don't Be That Way,1997,30
Louis Armstrong,Ella Fitzgerald,blues,Comes Love,1997,29
Louis Armstrong,Ella Fitzgerald,blues,I Won't Dance,1997,28
Louis Armstrong,Ella Fitzgerald,blues,"Gee, Baby, Ain't I Good To You?",1997,28
